concept;term;pinyin;translation;category,
wisdom;智慧;zhìhuì;wisdom / intelligence;Confucian,
wisdom;明智;míngzhì;clear wisdom / sagacity;Confucian,
wisdom;智者;zhìzhě;wise person;Confucian,
wisdom;智仁勇;zhì rén yǒng;wisdom / benevolence / courage;Confucian,
wisdom;智德;zhìdé;wisdom virtue;Confucian,
wisdom;大智若愚;dàzhì ruò yú;great wisdom appears foolish;Confucian,
wisdom;知者不惑;zhì zhě bù huò;wise person is not perplexed;Confucian,
wisdom;智者乐水;zhìzhě lè shuǐ;wise person delights in water;Confucian,
wisdom;知之为知之;zhī zhī wéi zhī zhī;know it as knowing it;Confucian,
wisdom;不知为不知;bù zhī wéi bù zhī;not know it as not knowing it;Confucian,
wisdom;知者利仁;zhì zhě lì rén;wise person benefits from benevolence;Confucian,
wisdom;好学近乎知;hào xué jìn hū zhì;love of learning is close to wisdom;Confucian,
wisdom;知者不失人;zhì zhě bù shī rén;wise person does not miss people;Confucian,
courage;勇敢;yǒnggǎn;brave / courageous;Confucian,
courage;勇气;yǒngqì;courage / bravery;Confucian,
courage;勇者;yǒngzhě;courageous person;Confucian,
courage;义勇;yìyǒng;righteous courage;Confucian,
courage;勇德;yǒngdé;courage virtue;Confucian,
courage;勇者不惧;yǒng zhě bù jù;courageous person does not fear;Confucian,
courage;见义勇为;jiàn yì yǒng wéi;see righteousness and act courageously;Confucian,
courage;勇而无礼则乱;yǒng ér wú lǐ zé luàn;courage without ritual leads to chaos;Confucian,
courage;知耻近乎勇;zhī chǐ jìn hū yǒng;knowing shame is close to courage;Confucian,
courage;临危不惧;lín wēi bù jù;face danger without fear;Confucian,
courage;勇而好同;yǒng ér hào tóng;courageous and fond of agreement;Confucian,
courage;勇猛精进;yǒngměng jīngjìn;courageous and vigorously advancing;Confucian,
courage;匹夫之勇;pǐfū zhī yǒng;foolhardy courage;Confucian,
heart-mind;人心;rénxīn;human heart-mind;Confucian,
heart-mind;本心;běnxīn;original heart-mind;Confucian,
heart-mind;良心;liángxīn;good heart / conscience;Confucian,
heart-mind;心性;xīnxìng;heart-mind and nature;Confucian,
heart-mind;尽心;jìnxīn;fulfill the heart-mind;Confucian,
heart-mind;正心;zhèngxīn;rectify the heart-mind;Confucian,
heart-mind;心正而后身修;xīn zhèng érhòu shēn xiū;heart-mind rectified / then self cultivated;Confucian,
heart-mind;心不在焉;xīn bù zài yān;heart-mind not present;Confucian,
heart-mind;心斋;xīnzhāi;fasting of the heart-mind;Cross-Tradition Terms,
heart-mind;心之官则思;xīn zhī guān zé sī;function of heart-mind is thinking;Confucian,
heart-mind;恻隐之心;cèyǐn zhī xīn;heart-mind of compassion;Confucian,
heart-mind;人心惟危;rénxīn wéi wēi;human heart-mind is precarious;Confucian,
heart-mind;道心惟微;dàoxīn wéi wēi;heart-mind of the Way is subtle;Confucian,
human nature;人性;rénxìng;human nature;Confucian,
human nature;天性;tiānxìng;heavenly nature;Confucian,
human nature;性善;xìng shàn;nature is good;Confucian,
human nature;性恶;xìng è;nature is evil;Confucian,
human nature;性相近，习相远;xìng xiāng jìn, xí xiāng yuǎn;natures are similar / habits become distant;Confucian
human nature;率性;shuàixìng;follow nature;Confucian,
human nature;尽性;jìnxìng;fulfill nature;Confucian,
human nature;性即理;xìng jí lǐ;nature is principle;Confucian,
human nature;性分;xìngfèn;natural capacity;Confucian,
human nature;气质之性;qìzhì zhī xìng;temperamental nature;Confucian,
human nature;天命之谓性;tiānmìng zhī wèi xìng;what Heaven mandates is called nature;Confucian,
human nature;性其情;xìng qí qíng;nature guides emotions;Confucian,
human nature;变化气质;biànhuà qìzhì;transform temperament;Confucian,
emotion;情感;qínggǎn;emotion / feeling;Confucian,
emotion;性情;xìngqíng;nature and emotion;Confucian,
emotion;人情;rénqíng;human feelings / social relations;Confucian,
emotion;七情;qīqíng;seven emotions;Confucian,
emotion;情欲;qíngyù;emotional desires;Confucian,
emotion;情实;qíngshí;emotional reality;Confucian,
emotion;情理;qínglǐ;emotion and reason;Confucian,
emotion;情之所钟;qíng zhī suǒ zhōng;where emotions are focused;Confucian,
emotion;情有可原;qíng yǒu kě yuán;emotionally understandable / excusable;Confucian,
emotion;情伪;qíngwěi;genuine and false emotions;Confucian,
emotion;情见乎辞;qíng xiàn hū cí;emotion appears in words;Confucian,
emotion;情不可却;qíng bùkě què;emotion cannot be refused;Confucian,
rule by virtue;德治;dézhì;rule by virtue;Confucian,
rule by virtue;为政以德;wéi zhèng yǐ dé;governing with virtue;Confucian,
rule by virtue;以德治国;yǐ dé zhì guó;govern state with virtue;Confucian,
rule by virtue;德主刑辅;dé zhǔ xíng fǔ;virtue primary / punishment supplementary;Confucian,
rule by virtue;德泽下民;dé zé xià mín;virtue benefits the common people;Confucian,
rule by virtue;德化天下;dé huà tiānxià;transform the world with virtue;Confucian,
rule by virtue;德被苍生;dé bèi cāngshēng;virtue covers all living beings;Confucian,
rule by virtue;德威并施;dé wēi bìng shī;apply both virtue and authority;Confucian,
self-cultivation;修身;xiūshēn;cultivate the self;Confucian,
self-cultivation;修养;xiūyǎng;self-cultivation / accomplishment;Confucian,
self-cultivation;修己;xiūjǐ;cultivate oneself;Confucian,
self-cultivation;修身养性;xiūshēn yǎngxìng;cultivate self and nourish nature;Confucian,
self-cultivation;修心养性;xiūxīn yǎngxìng;cultivate heart and nourish nature;Confucian,
self-cultivation;内修;nèixiū;inner cultivation;Confucian,
self-cultivation;修身为本;xiūshēn wéi běn;self-cultivation is fundamental;Confucian,
self-cultivation;修身齐家治国平天下;xiūshēn qíjiā zhìguó píng tiānxià;cultivate self / regulate family / govern state / bring peace to world;Confucian,
self-cultivation;修己以敬;xiū jǐ yǐ jìng;cultivate self with reverence;Confucian,
learning;学习;xuéxí;study / learning;Confucian,
learning;学问;xuéwèn;learning and inquiry;Confucian,
learning;学术;xuéshù;scholarship / academic;Confucian,
learning;学者;xuézhě;scholar;Confucian,
learning;好学;hàoxué;love of learning;Confucian,
learning;博学;bóxué;extensive learning;Confucian,
learning;学而不厌;xué ér bù yàn;study without satiety;Confucian,
learning;学而时习之;xué ér shí xí zhī;to learn and often practice it;Confucian,
learning;学以致用;xué yǐ zhì yòng;study for application;Confucian,
learning;学无止境;xué wú zhǐjìng;learning has no limits;Confucian,
learning;学然后知不足;xué ránhòu zhī bùzú;after learning / know one's inadequacy;Confucian,
harmony;和谐;héxié;harmonious;Confucian,
harmony;和睦;hémù;harmonious / amicable;Confucian,
harmony;和为贵;hé wéi guì;harmony is precious;Confucian,
harmony;中和;zhōnghé;central harmony;Confucian,
harmony;和气;héqì;harmonious energy;Confucian,
harmony;和而不同;hé ér bù tóng;harmonious but not uniform;Confucian,
harmony;和谐共处;héxié gòngchǔ;harmonious coexistence;Confucian,
harmony;家和万事兴;jiā hé wànshì xīng;family harmony leads to prosperity;Confucian,
harmony;政通人和;zhèng tōng rén hé;government functions and people are harmonious;Confucian,
harmony;天时地利人和;tiānshí dìlì rénhé;favorable timing / geographical advantage / human harmony;Confucian,
the mean;中庸;zhōngyōng;the Mean / equilibrium;Confucian,
the mean;中庸之道;zhōngyōng zhī dào;the Way of the Mean;Confucian,
the mean;执中;zhízhōng;hold the mean;Confucian,
the mean;中道;zhōngdào;middle way;Cross-Tradition Terms,
the mean;不偏不倚;bù piān bù yǐ;neither partial nor biased;Cross-Tradition Terms,
the mean;过犹不及;guò yóu bù jí;going too far is as bad as not enough;Confucian,
the mean;中正;zhōngzhèng;central and correct;Confucian,
the mean;允执厥中;yǔn zhí jué zhōng;sincerely hold to the mean;Confucian,
the mean;从容中道;cóngróng zhōngdào;composed and following the mean;Confucian,
the mean;时中;shízhōng;timely mean;Confucian,
sincerity;诚实;chéngshí;honest / sincere;Confucian,
sincerity;诚意;chéngyì;sincere intention;Confucian,
sincerity;至诚;zhìchéng;utmost sincerity;Confucian,
sincerity;诚心;chéngxīn;sincere heart;Confucian,
sincerity;诚者天之道;chéng zhě tiān zhī dào;sincerity is the way of Heaven;Confucian,
sincerity;诚之者人之道;chéng zhī zhě rén zhī dào;achieving sincerity is the way of humans;Confucian,
sincerity;不诚无物;bù chéng wú wù;without sincerity / nothing exists;Confucian,
sincerity;唯天下至诚;wéi tiānxià zhì chéng;only the utmost sincerity in the world;Confucian,
sincerity;诚于中形于外;chéng yú zhōng xíng yú wài;sincerity within manifests without;Confucian,
sincerity;修辞立其诚;xiūcí lì qí chéng;cultivate words to establish sincerity;Confucian,
civility;文化;wénhuà;culture / civilization;Confucian,
civility;文明;wénmíng;civilization / civilized;Confucian,
civility;文德;wéndé;cultural virtue;Confucian,
civility;文质彬彬;wén zhì bīnbīn;cultured and refined;Confucian,
civility;文以载道;wén yǐ zài dào;writing conveys the Way;Confucian,
civility;斯文;sīwén;this culture / refined;Confucian,
civility;文教;wénjiào;cultural education;Confucian,
civility;文献;wénxiàn;documents / literature;Confucian,
civility;人文;rénwén;human culture / humanities;Confucian,
civility;文过饰非;wén guò shì fēi;cover faults and conceal wrongs;Confucian,
civility;文治武功;wénzhì wǔgōng;civil administration and military achievements;Confucian,
enlightenment;菩提;pútí;bodhi / enlightenment / awakening;Buddhist,
enlightenment;正等正觉;zhèng děng zhèng jué;perfect complete enlightenment;Buddhist,
enlightenment;无上正等正觉;wú shàng zhèng děng zhèng jué;unsurpassed perfect enlightenment;Buddhist,
enlightenment;证菩提;zhèng pútí;attain enlightenment;Buddhist,
enlightenment;发菩提心;fā pútí xīn;generate bodhicitta / enlightenment mind;Buddhist,
enlightenment;菩提心;pútí xīn;bodhicitta / enlightenment mind;Buddhist,
enlightenment;菩提果;pútí guǒ;fruit of enlightenment;Buddhist,
enlightenment;菩提树下;pútí shù xià;under the bodhi tree;Buddhist,
enlightenment;大彻大悟;dà chè dà wù;great awakening and realization;Buddhist,
enlightenment;明心见性;míng xīn jiàn xìng;illuminate mind and see nature;Buddhist,
enlightenment;见性成佛;jiàn xìng chéng fó;see nature and become Buddha;Cross-Tradition Terms,
enlightenment;顿悟;dùnwù;sudden enlightenment;Buddhist,
nirvana;涅槃;nièpán;nirvana / liberation / extinguishing;Buddhist,
nirvana;涅槃寂静;nièpán jìjìng;nirvana is peace and quietude;Buddhist,
nirvana;入涅槃;rù nièpán;enter nirvana;Buddhist,
nirvana;证涅槃;zhèng nièpán;attain nirvana;Buddhist,
nirvana;般涅槃;pán nièpán;parinirvana / complete nirvana;Buddhist,
nirvana;无余涅槃;wú yú nièpán;nirvana without remainder;Buddhist,
nirvana;有余涅槃;yǒu yú nièpán;nirvana with remainder;Buddhist,
nirvana;大般涅槃;dà pán nièpán;great complete nirvana;Buddhist,
nirvana;涅槃经;nièpán jīng;Nirvana Sutra;Buddhist,
nirvana;常乐我净;cháng lè wǒ jìng;permanent / blissful / self / pure (nirvana qualities);Buddhist,
nirvana;不生不灭;bù shēng bù miè;neither born nor extinguished;Buddhist,
buddha;佛陀;fótuó;Buddha / the Enlightened One;Buddhist,
buddha;佛祖;fózǔ;Buddha the patriarch;Buddhist,
buddha;佛法;fófǎ;Buddha-Dharma / Buddhist teachings;Cross-Tradition Terms,
buddha;佛教;fójiào;Buddhism;Buddhist,
buddha;佛性;fóxìng;Buddha-nature;Cross-Tradition Terms,
buddha;佛心;fóxīn;Buddha-mind;Buddhist,
buddha;佛土;fótǔ;Buddha-land / pure land;Buddhist,
buddha;佛像;fóxiàng;Buddha statue;Buddhist,
buddha;念佛;niànfó;recite Buddha's name;Buddhist,
buddha;拜佛;bàifó;worship Buddha;Buddhist,
buddha;成佛;chéngfó;become Buddha;Buddhist,
buddha;三世佛;sānshì fó;Buddhas of Three Times;Buddhist,
buddha;十方佛;shífāng fó;Buddhas of Ten Directions;Buddhist,
dharma;正法;zhèngfǎ;true dharma;Buddhist,
dharma;法门;fǎmén;dharma gate / teaching method;Buddhist,
dharma;法轮;fǎlún;dharma wheel;Buddhist,
dharma;法宝;fǎbǎo;dharma treasure;Buddhist,
dharma;法会;fǎhuì;dharma assembly;Buddhist,
dharma;法雨;fǎyǔ;dharma rain;Buddhist,
dharma;法界;fǎjiè;dharma realm;Buddhist,
dharma;法身;fǎshēn;dharma body;Buddhist,
dharma;弘法;hóngfǎ;propagate dharma;Buddhist,
dharma;护法;hùfǎ;protect dharma;Buddhist,
dharma;非法;fēifǎ;non-dharma / wrong dharma;Buddhist,
sangha;僧伽;sēngqié;sangha / monastic community;Buddhist,
sangha;僧团;sēngtuán;monastic community;Buddhist,
sangha;僧人;sēngrén;monastic person;Buddhist,
sangha;僧众;sēngzhòng;assembly of monastics;Buddhist,
sangha;僧宝;sēngbǎo;sangha jewel;Buddhist,
sangha;僧侣;sēnglǚ;clergy / monastics;Buddhist,
sangha;僧院;sēngyuàn;monastery;Buddhist,
sangha;僧衣;sēngyī;monastic robe;Buddhist,
sangha;僧舍;sēngshè;monastic dwelling;Buddhist,
sangha;僧尼;sēngní;monks and nuns;Buddhist,
sangha;僧俗;sēngsú;monastics and laity;Buddhist,
sangha;高僧;gāosēng;eminent monk;Buddhist,
suffering;苦海;kǔhǎi;sea of suffering;Buddhist,
suffering;苦谛;kǔdì;truth of suffering;Buddhist,
suffering;八苦;bākǔ;eight kinds of suffering;Buddhist,
suffering;生老病死;shēng lǎo bìng sǐ;birth / aging / sickness / death;Buddhist,
suffering;苦苦;kǔkǔ;suffering of suffering;Buddhist,
suffering;坏苦;huàikǔ;suffering of change;Buddhist,
suffering;行苦;xíngkǔ;suffering of conditioned existence;Buddhist,
suffering;离苦得乐;lí kǔ dé lè;leave suffering / attain happiness;Buddhist,
suffering;苦集灭道;kǔ jí miè dào;four noble truths;Buddhist,
suffering;人生是苦;rénshēng shì kǔ;human life is suffering;Buddhist,
